Ray 1, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   2 	   1 	   2 	   0 	  13 	   0 	 -*-- 	----	 --	  -8.909552765E+01 	  1.187934723E+02 	 -4.418601685E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	  -2.504833639E-01 	 -2.552261055E-01 	 -9.338724613E-01 	   4.418601685E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M1_1K_01um.step
   3 	   2 	   3 	   0 	  16 	   0 	 --*- 	----	 --	   2.098034477E+01 	  2.309535675E+02 	 -2.667521362E+02 	   4.678390026E-01 	  4.766972661E-01 	  7.442354560E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.352857998E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	  14 	   0 	 -*-- 	----	 --	   1.383017883E+02 	  3.504964294E+02 	 -8.011790466E+01 	   4.678390026E-01 	  4.766972661E-01 	  7.442354560E-01 	  -3.834403157E-01 	 -2.654145360E-01 	 -8.846064806E-01 	   2.507731113E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M2_1K_01um.step
   5 	   4 	   5 	   0 	  21 	   0 	 --*- 	----	 --	   2.205019379E+01 	  3.354477844E+02 	 -4.917161865E+02 	  -2.716380954E-01 	 -3.516327962E-02 	 -9.617568851E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   4.279649992E+02	  -6.063278675E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	  23 	   0 	 --*- 	----	 --	   2.362780809E+00 	  3.328992615E+02 	 -5.614210815E+02 	  -2.716380954E-01 	 -3.516327962E-02 	 -9.617568851E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   7.247662788E+01	  -2.159051418E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFP w/Y TRANS
   7 	   6 	   7 	   0 	   0 	   0 	 *--- 	----	 --	  -1.539212227E+01 	  3.306009216E+02 	 -6.242837524E+02 	  -2.716380954E-01 	 -3.516327962E-02 	 -9.617568851E-01 	                 -                 	-                 	- 	   6.536233121E+01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Missed

Ray 7, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	  -7.919602966E+01 	  1.286929626E+02 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
